,nome_logradouro_residencia,quantidade
620,RUA DAS ROSAS,3
621,RUA BURITI,3
622,RUA MARECHAL BITTEMOURT,3
623,RUA VISCONDE DE ITABORA?,3
624,RUA JUNDIAI,3
625,RUA CAROLINA,3
626,RUA ANA LUCIA,3
627,RUA ALFREDO DE FREITAS,3
628,RUA DOM EXPEDITO LOPES,3
629,RUA RESPLENDOR,3
630,RUA SANTA ROSA,3
631,RUA SATIRO DIAS,3
632,RUA JADER DE ANDRADE,3
633,RUA CACHOEIRA,3
634,RUA ERNANE BRAGA,3
635,RUA ARACAGI,3
636,RUA MAJOR RUBENS VAZ,3
637,RUA JO?O FRANCISCO LISBOA,3
638,RUA DULCE OLIVEIRA,3
639,RUA DOUTOR VALDIR PESSOA,3
640,RUA URUGUAIANA,3
641,RUA CAETANO MONTEIRO,3
642,RUA SENADOR TOMAZ LOBO,3
643,RUA CIDRA,3
644,RUA MARIA AUGUSTA,3
645,RUA RODOLFO DE HOLANDA,3
646,RUA TRINDADE HENRIQUE,3
647,RUA JULIA RAMOS,3
648,RUA SERTANOPOLIS,3
649,RUA BRUNO VELOSO,3
650,RUA MARIO LIBANIO,3
651,AVENIDA BEIRA RIO,3
652,RUA REALEZA,3
653,RUA WALMIR MORAES,3
654,RUA ALTO FORMOSO,3
655,RUA PRIMEIRO DE MAIO,3
656,RUA GURUPE,3
657,RUA CONSCELHEIRO PERITTI,3
658,RUA PIRITUBA,3
659,RUA AFONSO CUNHA,3
660,RUA ARQUITETO LUIZ NUNES,3
661,FELICIO DOS SANTOS,3
662,RUA ALMIRANTE NORONHA DE CARVALHO,3
663,RUA LUIZ LACERDA,3
664,RUA CONSELHEIRO SILVEIRA DE SOUZA,3
665,RUA ALICE TIBIRICA,3
666,RUA MERCURIO,3
667,RUA PARU,3
668,RUA DO CRAVO,3
669,ESTRADA DO PASSARINHO,3
670,RUA PARAISO DO LESTE,3
671,AV.BEBERIBE,3
672,RUA MAJOR FELICIO,3
673,RUA ILHOTA,3
674,RUA NOVA EUROPA,3
675,RUA PADRE CICERO,3
676,RUA BERNARDO VIEIRA DE MELO,3
677,CAMPOS SALES,3
678,RUA DA VOLTA,3
679,RUA DAMASQUEIRO,3
680,RUA CECILIA MEIRELES,3
681,RUA OSCAR BRANDAO,3
682,RUA RIO OCEANICO,3
683,RUA 22 DE AGOSTO,3
684,RUA CALDAS,3
685,RUA ALTO DO REFUGIO,3
686,AVENIDA CHAGAS FERREIRA,3
687,RUA ENCANTA MOÃA,3
688,RUA MONTEIROPOLIS,3
689,RUA 29,3
690,RUA FRUTUOSO GOMES,3
691,AV DOZE DE JUNHO,3
692,RUA MAURICIO DE NASSAU,3
693,RUA DEMOCRITO CAVALCANTI,3
694,RUA SANTA MONICA,3
695,N?O INFORMADO,3
696,RUA URUGUAI,3
697,RUA CAPITAO FRANCISCO,3
698,RUA OTAVIANO DE ALMEIDA ROSA,3
699,RUA PEDRO DA CUNHA ANDRADE,3
700,RUA EURIDES FERNANDES,3
701,RUA VINTE UM DE ABRIL,3
702,CARAPICUIBA,3
703,RUA GAST?O VIDIGAL,3
704,RUA CURUCA,3
705,RUA OLIVIA,3
706,RUA MARIA JABOATAO,3
707,RUA MIRABELA,3
708,RUA 11 DE AGOSTO,3
709,RUA PEDRO MALAZART,3
710,RUA DIOGO BARBOSA MACHADO,3
711,RUA SAO PEDRO,3
712,RUA CUIARI,3
713,AV. VISCONDE DE JEQUITINHONHA,3
714,RUA ENGENHO PAU AMARELO,3
715,RUA AX,3
716,RUA DO TRIUNFO,3
717,RUA DONA MARIA LACERDA,3
718,DOUTOR DUSTAN DE CARVALHO SOARES,3
719,RUA VOTORANTIN,3
720,RUA JOSE BONIFACIO,3
721,RUA JULIO JOSE DE SOUZA,3
722,CORREGO DO ABIDIAS,3
723,RUA BARAO DE LADARIO,3
724,RUA LUIZ RODOLFO DE ARAUJO JUNIOR,3
725,RUA PALONI,3
726,RUA MANOEL GONÃALVES DE OLIVEIRA,3
727,RUA NOVA ALIANÃA,3
728,RUA MARECHAL CORDEIRO DE FARIAS,3
729,RUA BOM REPOUSO,3
730,RUA MOREIRA REIS,3
731,RUA NOVA ESPERANÃA,3
732,RUA ADOLFO BEZERRA,3
733,RUA DONA ANA AURORA,3
734,RUA JORNALISTA NELSON RODRIGUES,3
735,RUA XAVIER SOBRINHO,3
736,RUA GUAPIACU,3
737,RUA DR PERNAMBUCO,3
738,RUA ANTONIO JUSTINO,3
739,RUA MAJOR MARIO PORTELA,3
740,RUA ALMIRANTE PEDRO MAX,3
741,RUA ANGATUBA,3
